"","AnimalID","LABID","SEX","HAP","mito.haps","RunMS58","GTseq.prod.all","GTseq.val.all","RunMS51","RunMS54","RunMS43","RunMS45.90s"
"414","z0195732","z0195732","F","F1",NA,"","1","","","1","",""
"415","z0196729","z0196729","M","F1",NA,"","","1","","1","",""
"416","z0005757","z0005757","F","F2","MnMito32","1","1","","","1","",""
"417","z0029866","z0029866","M","F2","MnMito29","","2","","","1","",""
"418","z0045326","z0045326","M","F2","MnMito34","","1","","","1","",""
"419","z0045347","z0045347","M","F2","MnMito29","1","1","","","1","",""
"420","z0051381","z0051381","F","F2","MnMito32","","1","","","1","",""
"421","z0051428","z0051428","F","F2","MnMito33","","1","","","1","",""
"422","z0051895","z0051895","M","F2","MnMito34","1","1","","","1","",""
"423","z0051966","z0051966","F","F2","MnMito29","","2","","","1","",""
"424","z0061967","z0061967","M","F2","MnMito29","","1","","","1","",""
"425","z0066166","z0066166","M","F2","MnMito29","","1","","","","",""
"426","z0107099","z0107099","F","F2",NA,"","1","","","","",""
"427","z0175930","z0175930","M","F2",NA,"","1","","","","",""
"428","z0187847","z0187847","M","F2",NA,"","","","","","",""
"429","z0195699","z0195699","M","F2",NA,"","","2","","1","",""
"430","z0195702","z0195702","F","F2",NA,"","1","","","1","",""
"431","z0195716","z0195716","M","F2",NA,"","1","","","2","",""
"432","z0195728","z0195728","F","F2",NA,"","1","","","1","",""
"433","z0195751","z0195751","F","F2",NA,"2","1","","","1","",""
"434","z0108528","z0195767","M","F2",NA,"1","","1","","1","",""
"435","z0196710","z0196710","F","F2",NA,"","1","","","1","",""
"436","z0196731","z0196731","F","F2",NA,"","1","","","1","",""
"437","z0196752","z0196752","F","F2",NA,"","1","","","1","",""
"438","z0196754","z0196754","M","F2",NA,"","1","","","1","",""
"439","z0196766","z0196766","M","F2",NA,"","1","","","1","",""
"440","z0196769","z0196769","M","F2",NA,"","1","","","1","",""
"441","z0196774","z0196774","F","F2",NA,"","","1","","1","",""
"442","z0196809","z0196809","F","F2",NA,"","2","","","1","",""
"443","z0196825","z0196825","F","F2",NA,"","2","","","1","",""
"444","z0196835","z0196835","F","F2",NA,"","1","","","2","",""
"445","z0196849","z0196849","F","F2",NA,"","","1","","1","",""
"446","z0051447","z0051447","F","F6","MnMito43","","1","","","1","",""
"447","z0061978","z0061978","M","F6","MnMito43","","1","","","1","",""
"448","z0196834","z0196834","M","F6",NA,"","","1","","1","",""
"449","z0068566","z0068566","M","F7","MnMito44","","1","","","1","",""
"450","z0175371","z0175371","F","Mnov_1_E4","MnMito51","","1","","","1","",""
"451","z0047587","z0047587","M","Aplus",NA,"","","","","1","",""
"452","z0056089","z0056089","F","Aplus",NA,"","1","","","1","",""
"453","z0043678","z0043678","F","E7",NA,"","1","","","1","",""
"454","z0056052","z0056052","M","E7",NA,"","1","","","1","",""
"455","z0043627","z0043627","M","F2",NA,"","1","","","1","",""
"456","z0047603","z0047603","F","F4",NA,"","1","","","1","",""
"457","z0040513","z0040513","M","Aminus",NA,"","1","","","2","",""
"458","z0146087","z0174004","F","Aplus",NA,"","","","","","",""
"459","z0041526","z0041526","M","Aminus",NA,"1","1","","","2","",""
"460","z0043994","z0043994","M","Aminus",NA,"1","1","","","2","",""
"461","z0053082","z0053082","F","Aminus",NA,"1","","1","","2","",""
"462","z0046925","z0203524","M","Aminus",NA,"","","","","","",""
"463","z0043475","z0043475","M","Aplus",NA,"","1","","","2","",""
"464","z0045776","z0045776","M","Aplus",NA,"","1","","","2","",""
"465","z0053090","z0053090","M","Aplus",NA,"","","1","","2","",""
"466","z0053111","z0053111","M","Aplus",NA,"","","1","","2","",""
"467","z0061527","z0061527","M","Aplus",NA,"1","1","","","2","",""
"468","z0113628","z0113628","F","Aplus",NA,"1","1","","","2","",""
"469","z0053078","z0053078","M","F2",NA,"","2","","","2","",""
"470","z0196743","z0196743","M","A3",NA,"","1","","1","","",""
"471","z0195258","z0195258","F","Aminus",NA,"1","1","","1","1","",""
"472","z0195645","z0195645","F","Aminus",NA,"","1","","2","1","",""
"473","z0195647","z0195647","M","Aminus",NA,"1","1","","1","1","",""
"474","z0195648","z0195648","M","Aminus",NA,"1","2","","1","1","",""
"475","z0195656","z0195656","F","Aminus",NA,"","1","","1","1","",""
"476","z0195659","z0195659","M","Aminus",NA,"1","1","","1","1","",""
"477","z0195667","z0195667","M","Aminus",NA,"","1","","1","1","",""
"478","z0195668","z0195668","F","Aminus",NA,"1","1","","1","1","",""
"479","z0195669","z0195669","F","Aminus",NA,"","1","","1","1","",""
"480","z0195670","z0195670","F","Aminus",NA,"1","1","","1","1","",""
"481","z0195674","z0195674","F","Aminus",NA,"1","2","","2","1","",""
"482","z0195675","z0195675","M","Aminus",NA,"1","1","","1","1","",""
"483","z0195680","z0195680","M","Aminus",NA,"","1","","1","1","",""
"484","z0195685","z0195685","M","Aminus",NA,"","1","","1","","",""
"485","z0195766","z0195766","M","Aminus",NA,"","1","","1","","",""
"486","z0195776","z0195776","F","Aminus",NA,"1","1","","1","","",""
"487","z0195777","z0195777","F","Aminus",NA,"1","1","","1","","",""
"488","z0196755","z0196755","F","Aminus",NA,"","1","","2","","",""
"489","z0196858","z0196858","M","Aminus",NA,"","1","","1","","",""
"490","z0196859","z0196859","F","Aminus",NA,"","1","","1","","",""
"491","z0196862","z0196862","M","Aminus",NA,"","1","","1","","",""
"492","z0196865","z0196865","M","Aminus",NA,"","1","","1","","",""
"493","z0196886","z0196886","M","Aminus",NA,"","1","","1","","",""
"494","z0197659","z0197659","M","Aminus",NA,"","1","","1","","",""
"495","z0197660","z0197660","M","Aminus",NA,"1","1","","1","","",""
"496","z0197671","z0197671","M","Aminus",NA,"","1","","2","","",""
"497","z0197673","z0197673","M","Aminus",NA,"","1","","1","","",""
"498","z0175364","z0175364","M","Aplus","MnMito03","","1","","","","",""
"499","z0195643","z0195643","F","Aplus",NA,"1","1","","1","1","",""
"500","z0195644","z0195644","M","Aplus",NA,"","2","","1","1","",""
"501","z0195651","z0195651","M","Aplus",NA,"","1","","1","1","",""
"502","z0195653","z0195653","M","Aplus",NA,"1","1","","2","1","",""
"503","z0195657","z0195657","M","Aplus",NA,"1","1","","1","1","",""
"504","z0195664","z0195664","F","Aplus",NA,"1","1","","1","1","",""
"505","z0195671","z0195671","F","Aplus",NA,"1","1","","1","1","",""
"506","z0195677","z0195677","M","Aplus",NA,"","2","","1","1","",""
"507","z0195678","z0195678","M","Aplus",NA,"1","1","","1","1","",""
"508","z0195679","z0195679","M","Aplus",NA,"","1","","1","1","",""
"509","z0195681","z0195681","F","Aplus",NA,"","1","","1","1","",""
"510","z0195684","z0195684","M","Aplus",NA,"1","1","","1","1","",""
"511","z0195689","z0195689","F","Aplus",NA,"1","1","","1","","",""
"512","z0195696","z0195696","M","Aplus",NA,"","2","","","","",""
"513","z0195697","z0195697","F","Aplus",NA,"","1","","1","","",""
"514","z0195703","z0195703","F","Aplus",NA,"","2","","1","","",""
"515","z0195707","z0195707","M","Aplus",NA,"","1","","1","","",""
"516","z0195720","z0195720","F","Aplus",NA,"","2","","1","","",""
"517","z0195729","z0195729","F","Aplus",NA,"","1","","1","","",""
"518","z0195738","z0195738","M","Aplus",NA,"","1","","1","","",""
"519","z0195741","z0195741","M","Aplus",NA,"","1","","1","","",""
"520","z0195748","z0195748","M","Aplus",NA,"","1","","1","","",""
"521","z0195755","z0195755","F","Aplus",NA,"1","1","","1","","",""
"522","z0195770","z0195770","F","Aplus",NA,"1","2","","1","","",""
"523","z0195771","z0195771","M","Aplus",NA,"1","1","","1","","",""
"524","z0195772","z0195772","M","Aplus",NA,"1","1","","1","","",""
"525","z0195775","z0195775","F","Aplus",NA,"","1","","1","","",""
"526","z0196721","z0196721","M","Aplus",NA,"","1","","1","","",""
"527","z0196742","z0196742","M","Aplus",NA,"","1","","1","","",""
"528","z0196748","z0196748","M","Aplus",NA,"","2","","1","","",""
"529","z0196773","z0196773","F","Aplus",NA,"","1","","1","","",""
"530","z0196854","z0196854","F","Aplus",NA,"","1","","2","","",""
"531","z0196861","z0196861","F","Aplus",NA,"","1","","1","","",""
"532","z0196892","z0196892","F","Aplus",NA,"","1","","1","","",""
"533","z0196895","z0196895","F","Aplus",NA,"","1","","1","","",""
"534","z0175950","z0175950","F","E1","MnMito10","","1","","","1","",""
"535","z0195665","z0195665","F","E1_E11",NA,"1","1","","1","1","",""
"536","z0195672","z0195672","F","E1_E11",NA,"1","1","","1","1","",""
"537","z0195709","z0195709","F","E1_E11",NA,"","1","","1","","",""
"538","z0195710","z0195710","F","E1_E11",NA,"","1","","1","","",""
"539","z0195750","z0195750","F","E1_E11",NA,"","1","","1","","",""
"540","z0195757","z0195757","F","E1_E11",NA,"","2","","1","","",""
"541","z0195759","z0195759","F","E1_E11",NA,"","1","","1","","",""
"542","z0195761","z0195761","M","E1_E11",NA,"","1","","1","","",""
"543","z0195773","z0195773","M","E1_E11",NA,"1","1","","1","","",""
"544","z0195781","z0195781","F","E1_E11",NA,"","1","","1","","",""
"545","z0195782","z0195782","M","E1_E11",NA,"","1","","1","","",""
"546","z0196709","z0196709","M","E1_E11",NA,"","2","","1","","",""
"547","z0196714","z0196714","M","E1_E11",NA,"","1","","1","","",""
"548","z0196718","z0196718","F","E1_E11",NA,"","1","","1","","",""
"549","z0196726","z0196726","F","E1_E11",NA,"","1","","1","","",""
"550","z0196727","z0196727","M","E1_E11",NA,"","2","","1","","",""
"551","z0196728","z0196728","F","E1_E11",NA,"","1","","2","","",""
"552","z0196737","z0196737","F","E1_E11",NA,"","1","","1","","",""
"553","z0196741","z0196741","M","E1_E11",NA,"","1","","1","","",""
"554","z0196750","z0196750","F","E1_E11",NA,"","1","","1","","",""
"555","z0196756","z0196756","F","E1_E11",NA,"","1","","1","","",""
"556","z0196761","z0196761","M","E1_E11",NA,"","1","","1","","",""
"557","z0196762","z0196762","F","E1_E11",NA,"","1","","2","","",""
"558","z0196777","z0196777","M","E1_E11",NA,"","1","","1","","",""
"559","z0196805","z0196805","F","E1_E11",NA,"1","1","","1","","",""
"560","z0196812","z0196812","M","E1_E11",NA,"","1","","1","","",""
"561","z0196830","z0196830","F","E1_E11",NA,"","1","","1","","",""
"562","z0196833","z0196833","M","E1_E11",NA,"","1","","2","","",""
"563","z0196839","z0196839","F","E1_E11",NA,"1","1","","2","","",""
"564","z0196840","z0196840","F","E1_E11",NA,"","2","","1","","",""
"565","z0196848","z0196848","M","E1_E11",NA,"","1","","1","","",""
"566","z0196850","z0196850","M","E1_E11",NA,"","1","","1","","",""
"567","z0196888","z0196888","F","E1_E11",NA,"","1","","1","","",""
"568","z0051906","z0051906","M","E10","MnMito15","","1","","","1","",""
"569","z0195733","z0195733","F","E10",NA,"","1","","1","","",""
"570","z0195736","z0195736","M","E13",NA,"1","1","","1","","",""
"571","z0195742","z0195742","F","E13",NA,"","1","","2","","",""
"572","z0195786","z0195786","F","E13",NA,"","1","","1","","",""
"573","z0195787","z0195787","F","E13",NA,"","1","","1","","",""
"574","z0196887","z0196887","F","E13",NA,"1","1","","1","","",""
"575","z0195730","z0195730","F","E15",NA,"","1","","1","","",""
"576","z0196749","z0196749","M","E15",NA,"","1","","1","","",""
"577","z0195650","z0195650","F","E2",NA,"","1","","1","1","",""
"578","z0195693","z0195693","M","E2",NA,"1","1","","1","","",""
"579","z0195763","z0195763","F","E2",NA,"","1","","1","","",""
"580","z0196707","z0196707","F","E3",NA,"","1","","1","","",""
"581","z0045352","z0045352","F","E4","MnMito22","","1","","","1","",""
"582","z0195673","z0195673","F","E4",NA,"1","1","","1","1","",""
"583","z0195682","z0195682","F","E4",NA,"1","1","","1","1","",""
"584","z0196860","z0196860","M","E4",NA,"","2","","1","","",""
"585","z0195734","z0195734","M","E5",NA,"","1","","","","",""
"586","z0196738","z0196738","M","E5",NA,"","1","","1","","",""
"587","z0196757","z0196757","F","E5",NA,"","1","","1","","",""
"588","z0196800","z0196800","M","E5",NA,"","1","","1","","",""
"589","z0196831","z0196831","F","E5",NA,"","1","","1","","",""
"590","z0197679","z0197679","M","E5",NA,"","1","","1","","",""
"591","z0195713","z0195713","F","E6",NA,"","1","","2","","",""
"592","z0195739","z0195739","M","E6",NA,"","1","","1","","",""
"593","z0196768","z0196768","M","E6",NA,"","1","","1","","",""
"594","z0195662","z0195662","F","E7",NA,"","2","","2","1","",""
"595","z0195695","z0195695","M","E7",NA,"","1","","1","","",""
"596","z0196723","z0196723","F","E7",NA,"","1","","1","","",""
"597","z0196778","z0196778","M","E7",NA,"","1","","1","","",""
"598","z0195706","z0195706","M","E8",NA,"","1","","1","","",""
"599","z0196747","z0196747","M","F1",NA,"","1","","1","","",""
"600","z0196889","z0196889","F","F1",NA,"","1","","2","","",""
"601","z0196891","z0196891","M","F1",NA,"1","1","","1","","",""
"602","z0195646","z0195646","F","F2",NA,"","1","","1","1","",""
"603","z0195712","z0195712","M","F2",NA,"","1","","1","","",""
"604","z0195714","z0195714","M","F2",NA,"","1","","1","","",""
"605","z0195717","z0195717","F","F2",NA,"","1","","1","","",""
"606","z0195721","z0195721","M","F2",NA,"","1","","1","","",""
"607","z0195722","z0195722","F","F2",NA,"","1","","1","","",""
"608","z0195727","z0195727","M","F2",NA,"","1","","1","","",""
"609","z0195735","z0195735","M","F2",NA,"","2","","1","","",""
"610","z0195743","z0195743","M","F2",NA,"","1","","1","","",""
"611","z0195756","z0195756","M","F2",NA,"1","1","","1","","",""
"612","z0195769","z0195769","F","F2",NA,"","1","","2","","",""
"613","z0195778","z0195778","F","F2",NA,"1","1","","1","","",""
"614","z0195780","z0195780","F","F2",NA,"","2","","1","","",""
"615","z0195791","z0195791","F","F2",NA,"1","1","","1","","",""
"616","z0196708","z0196708","M","F2",NA,"","1","","1","","",""
"617","z0196711","z0196711","M","F2",NA,"","2","","","","",""
"618","z0196722","z0196722","F","F2",NA,"","1","","1","","",""
"619","z0196732","z0196732","F","F2",NA,"","1","","1","","",""
"620","z0196759","z0196759","M","F2",NA,"","1","","1","","",""
"621","z0196765","z0196765","M","F2",NA,"","1","","1","","",""
"622","z0196767","z0196767","M","F2",NA,"","1","","1","","",""
"623","z0196770","z0196770","M","F2",NA,"","2","","1","","",""
"624","z0196772","z0196772","F","F2",NA,"","1","","1","","",""
"625","z0196775","z0196775","M","F2",NA,"","1","","1","","",""
"626","z0196781","z0196781","M","F2",NA,"","1","","1","","",""
"627","z0196793","z0196793","M","F2",NA,"","1","","1","","",""
"628","z0196806","z0196806","F","F2",NA,"","1","","1","","",""
"629","z0196826","z0196826","M","F2",NA,"","1","","1","","",""
"630","z0196832","z0196832","F","F2",NA,"","1","","1","","",""
"631","z0196842","z0196842","F","F2",NA,"","1","","1","","",""
"632","z0196844","z0196844","F","F2",NA,"","1","","1","","",""
"633","z0196845","z0196845","M","F2",NA,"","2","","1","","",""
"634","z0196846","z0196846","F","F2",NA,"1","1","","1","","",""
"635","z0196847","z0196847","F","F2",NA,"1","1","","1","","",""
"636","z0196851","z0196851","F","F2",NA,"1","1","","1","","",""
"637","z0196863","z0196863","M","F2",NA,"","1","","1","","",""
"638","z0197667","z0197667","F","F2",NA,"","2","","","","",""
"639","z0049019","z0049019","M","F3","MnMito41","","1","","","1","",""
"640","z0195779","z0195779","M","F3",NA,"","1","","2","","",""
"641","z0049020","z0049020","M","F6","MnMito43","","1","","","1","",""
"642","z0196744","z0196744","F","F6",NA,"","1","","1","","",""
"643","z0195686","z0195686","M","Mnov_1_E4",NA,"","1","","2","","",""
"644","z0195708","z0195708","M","Mnov_2_E6",NA,"","2","","1","","",""
"645","z0051808","z0063092","M","E1",NA,"","1","","","","",""
"646","z0063342","z0063342","M","Aplus",NA,"","","1","","","",""
"647","z0063269","z0063269","F","E1",NA,"","","1","","","",""
"648","z0063273","z0063273","M","E1",NA,"","","1","","","",""
"649","z0063275","z0063275","F","E11",NA,"","","1","","","",""
"650","z0063328","z0063328","F","E5",NA,"","","1","","","",""
"651","z0051813","z0063304","M","E8",NA,"","2","","","","",""
"652","z0055996","z0055996","M","A3",NA,"","","1","","1","",""
"653","z0012702","z0012702","M","Aminus","MnMito02","","","1","","1","",""
"654","z0055997","z0055997","M","Aminus",NA,"","","1","","1","",""
"655","z0056034","z0056034","M","E1",NA,"1","","1","","1","",""
"656","z0055962","z0055962","M","Aplus",NA,"","1","","","1","",""
"657","z0055903","z0055903","F","E3",NA,"","1","","","1","",""
"658","z0043839","z0055941","F","F2",NA,"","","","","","",""
"659","z0056012","z0056012","F","A3",NA,"","1","","","","",""
"660","z0055895","z0055895","F","Aminus",NA,"","1","","","","",""
"661","z0055896","z0055896","M","Aminus",NA,"","1","","","","",""
"662","z0055932","z0055932","M","Aminus",NA,"","1","","","","",""
"663","z0055936","z0055936","M","Aminus",NA,"","1","","","","",""
"664","z0055986","z0055986","F","Aminus",NA,"","1","","","","",""
"665","z0055884","z0055884","M","Aplus",NA,"","1","","","","",""
"666","z0055963","z0055963","M","Aplus",NA,"","1","","","","",""
"667","z0055965","z0055965","M","Aplus",NA,"","2","","","","",""
"668","z0056001","z0056001","M","Aplus",NA,"","1","","","","",""
"669","z0056011","z0056011","M","Aplus",NA,"","1","","","","",""
"670","z0055915","z0055915","M","E1",NA,"","1","","","","",""
"671","z0055947","z0055947","M","E1",NA,"","2","","","","",""
"672","z0056010","z0056010","M","E1",NA,"","1","","","","",""
"673","z0055909","z0055909","F","E3",NA,"","1","","","","",""
"674","z0055957","z0055957","M","E3",NA,"","1","","","","",""
"675","z0055970","z0055970","M","E3",NA,"","1","","","","",""
"676","z0056029","z0056029","M","E3",NA,"","1","","","","",""
"677","z0055928","z0055928","F","E5",NA,"","1","","","","",""
"678","z0055910","z0055910","M","E6",NA,"","2","","","","",""
"679","z0055948","z0055948","F","E6",NA,"","1","","","","",""
"680","z0055990","z0055990","M","E6",NA,"","1","","","","",""
"681","z0056337","z0056337","M","F1",NA,"","1","","","","",""
"682","z0055959","z0055959","M","F2",NA,"","1","","","","",""
"683","z0043526","z0043526","M","Aminus",NA,"","1","","","1","",""
"684","z0030033","z0030033","M","Aplus",NA,"","","","","","",""
"685","z0052846","z0052846","F","Aplus",NA,"","2","","","1","",""
"686","z0055945","z0055945","F","Aplus",NA,"","1","","","1","",""
"687","z0043716","z0043716","M","A3",NA,"","1","","","1","",""
"688","z0043650","z0055889","M","A3",NA,"","","","","","",""
"689","z0055944","z0055944","M","A3",NA,"","1","","","1","",""
"690","z0055977","z0055977","M","A3",NA,"","1","","","1","",""
"691","z0055931","z0055931","M","Aminus",NA,"","1","","","1","",""
"692","z0043979","z0043979","M","Aplus",NA,"","1","","","1","",""
"693","z0043666","z0055886","M","Aplus",NA,"","","","","","",""
"694","z0055908","z0055908","M","Aplus",NA,"","1","","","1","",""
"695","z0055971","z0055971","F","Aplus",NA,"","1","","","1","",""
"696","z0043724","z0043724","M","E1",NA,"","1","","","1","",""
"697","z0043891","z0043891","F","E1",NA,"","1","","","1","",""
"698","z0055916","z0055916","F","E1",NA,"","1","","","1","",""
"699","z0055999","z0055999","M","E1",NA,"","1","","","1","",""
"700","z0055912","z0055912","M","E3",NA,"","2","","","1","",""
"701","z0043904","z0043904","M","E6",NA,"","1","","","1","",""
"702","z0043674","z0043674","F","E9",NA,"1","1","","","1","",""
"703","z0043640","z0043640","M","F2",NA,"","1","","","1","",""
"704","z0055998","z0055998","F","F2",NA,"","","1","","1","",""
"705","z0196686","z0196686","M","F2","MnMito18","","1","","","1","",""
"706","z0196687","z0196687","M","F2","MnMito18","","1","","","1","",""
"707","z0196689","z0196689","M","F2","MnMito36","","1","","","1","",""
"708","z0196690","z0196690","F","F2","MnMito37","","1","","","1","",""
"709","z0075696","z0075696","F","H37","MnMito47","","","1","","1","",""
"710","z0196691","z0196691","M","SP90","MnMito50N","","1","","","1","",""
"711","z0196692","z0196692","F","SP90","MnMito48","","1","","","1","",""
"712","z0196693","z0196693","F","SP90","MnMito48","","1","","","1","",""
"713","z0196694","z0196694","F","SP90","MnMito49","","1","","","1","",""
"714","z0025405","z0025405","F","Aplus",NA,"","1","","","1","",""
"715","z0016576","z0016576","M","A3","MnMito01","","","","","","",""
"716","z0175928","z0175928","F","A3",NA,"","1","","1","","",""
"717","z0029831","z0029831","M","Aplus","MnMito03","1","1","","1","","",""
"718","z0051405","z0051405","M","Aplus",NA,"1","1","","1","","",""
"719","z0051898","z0051898","M","Aplus",NA,"","1","","1","","",""
"720","z0175377","z0175377","M","Aplus",NA,"","1","","1","","",""
"721","z0187846","z0187846","M","Aplus",NA,"","1","","1","","",""
"722","z0195690","z0195690","M","Aplus",NA,"","1","","1","","",""
"723","z0029833","z0029833","M","E1","MnMito14","","2","","1","","",""
"724","z0045357","z0045357","M","E1","MnMito13N","","1","","1","","",""
"725","z0051404","z0051404","F","E1",NA,"","1","","1","","",""
"726","z0175915","z0175915","F","E1",NA,"1","1","","1","","",""
"727","z0175927","z0175927","M","E1",NA,"1","1","","1","","",""
"728","z0187842","z0187842","F","E1",NA,"","1","","1","","",""
"729","z0187868","z0187868","F","E1",NA,"","1","","2","","",""
"730","z0053055","z0053055","M","E1_E11","MnMito14","1","2","","1","","",""
"731","z0196760","z0196760","F","E1_E11",NA,"","1","","1","","",""
"732","z0196823","z0196823","M","E1_E11",NA,"","1","","1","","",""
"733","z0197682","z0197682","M","E1_E11",NA,"1","1","","1","","",""
"734","z0012701","z0012701","F","E10",NA,"","1","","","1","",""
"735","z0195700","z0195700","M","E10",NA,"","1","","1","","",""
"736","z0195715","z0195715","F","E10",NA,"","1","","1","","",""
"737","z0197664","z0197664","M","E10",NA,"1","1","","1","","",""
"738","z0107073","z0107073","M","E13",NA,"","1","","2","","",""
"739","z0195758","z0195758","M","E13",NA,"","1","","1","","",""
"740","z0107067","z0178296","M","E5","MnMito23","","2","","1","","",""
"741","z0051402","z0051402","M","E6","MnMito25","","1","","2","","",""
"742","z0045329","z0045329","F","F2","MnMito29","","1","","1","","",""
"743","z0045358","z0045358","F","F2","MnMito29","","1","","1","","",""
"744","z0051879","z0051879","M","F2","MnMito29","","1","","1","","",""
"745","z0107055","z0107055","M","F2",NA,"","1","","1","","",""
"746","z0107078","z0107078","M","F2",NA,"1","1","","","","",""
"747","z0107080","z0107080","M","F2",NA,"","2","","1","","",""
"748","z0108480","z0108480","F","F2","MnMito29","","1","","1","","",""
"749","z0108508","z0108508","M","F2","MnMito29","","1","","2","","",""
"750","z0108510","z0108510","F","F2",NA,"1","1","","1","","",""
"751","z0175953","z0175953","M","F2",NA,"","","","","","",""
"752","z0187811","z0187811","F","F2",NA,"1","2","","1","","",""
"753","z0187859","z0187859","F","F2",NA,"1","1","","1","","",""
"754","z0196753","z0196753","F","F2",NA,"","2","","1","","",""
"755","z0196795","z0196795","M","F2",NA,"","1","","1","","",""
"756","z0196822","z0196822","F","F2",NA,"","1","","1","","",""
"757","z0051945","z0051945","F","F3",NA,"","2","","1","","",""
"758","z0196792","z0196792","M","F3",NA,"","2","","1","","",""
"759","z0051968","z0051968","F","F4","MnMito42","","1","","1","","",""
